trial,validation_pr_auc,validation_roc_auc,validation_f1,threshold,architecture,activation,dropout,epochs,learning_rate,pos_weight,weight_decay
24,0.7116812807426068,0.95491850648062,0.8,0.9677324891090393,three_layers,relu,0.2,70,0.004945753660050307,38.589602581092954,0.002366423337994235
12,0.7095015231788264,0.9387587182080628,0.7936507936507936,0.9767880439758301,three_layers,relu,0.0,70,0.0007343185863924427,63.50650479649312,0.00028194727586899367
23,0.7091928287746759,0.9575206116299184,0.7906976744186046,0.9657761454582214,three_layers,relu,0.2,70,0.004054159491573015,38.3835291992752,0.0016297663943125897
22,0.7084454250823743,0.9601432160990316,0.7906976744186046,0.9375000596046448,three_layers,relu,0.1,60,0.0029060707228072604,32.784800382361766,0.0013067101444022408
21,0.7077776723007057,0.9605789356840383,0.7936507936507936,0.9508063793182373,three_layers,relu,0.1,60,0.0023963540065295415,29.408750693364084,0.0012096962658614027
20,0.7070972211413353,0.9605257246836671,0.7936507936507936,0.9467110633850098,three_layers,relu,0.1,60,0.0024390873472741968,28.23176766600137,0.0012454803532397144
2,0.7048659096385534,0.9308376938003515,0.7936507936507936,0.9441199898719788,three_layers,relu,0.0,60,0.001029921420460198,27.220428494595552,2.9914693021302195e-05
13,0.7040684014444493,0.9054815617341379,0.7878787878787878,0.6351094245910645,three_layers,relu,0.1,60,0.00053948142747883,74.51792770801313,0.0003629852778670356
5,0.7009842358848899,0.9445166282195381,0.8,0.9392043352127075,large,relu,0.0,80,0.002717863780472573,46.131263780934596,2.078699690689777e-07
14,0.7003969253718789,0.9200908163483383,0.8,0.9754320383071899,three_layers,relu,0.0,60,0.0006736516472601672,106.83834451375168,0.0002704793536057041
3,0.7003483303390728,0.9848542738246804,0.78125,0.6302337050437927,small,sigmoid,0.30000000000000004,80,0.011455777613940602,90.54666710952739,0.004067908494359549
1,0.7000843401494241,0.9549817490630285,0.8062015503875969,0.8999404907226562,large,relu,0.1,50,0.006407866261851014,33.11724238303111,3.725393839578883e-05
4,0.6928132158228101,0.9521558960187269,0.796875,0.9043068289756775,two_layers,relu,0.2,20,0.007012604000905369,24.143784340045862,0.008598737339212284
16,0.6796829487836066,0.9608242732882086,0.8031496062992126,0.985007643699646,three_layers,relu,0.0,70,0.0013518797019571784,63.67579155330162,0.001112592299362718
11,0.6793542224492254,0.8995321793524744,0.784,0.6513378620147705,medium,relu,0.0,80,0.001777224117322294,20.969324518579,1.8059148795559936e-07
10,0.6387736422458359,0.9895510169189173,0.7967479674796748,0.9728599786758423,three_layers,tanh,0.0,60,0.0005795112186823396,197.9960827542205,0.0002714800722095448
15,0.634735923790574,0.9890965426370587,0.7906976744186046,0.9327799081802368,three_layers,tanh,0.1,70,0.00030493299975092956,133.27742968298827,4.525016339582628e-05
19,0.6206785453993271,0.9490500309888654,0.7846153846153846,0.3151276409626007,three_layers,sigmoid,0.2,70,0.00034094482769089307,245.36420062088268,3.996673549441511e-06
0,0.6200152662032581,0.9858249384257133,0.7819548872180451,0.9871826171875,small,tanh,0.30000000000000004,20,0.01705264153898309,163.736183628402,1.1526449540315607e-06
9,0.6157676861394611,0.9826865797931662,0.8031496062992126,0.4189942181110382,small,sigmoid,0.1,50,0.004146366737876132,50.10706300017709,0.0072262072580805015
6,0.6116982513305107,0.9516338175970522,0.7716535433070866,0.2033691108226776,two_layers,sigmoid,0.2,70,0.0013684800764953186,74.8894895352574,1.3731092468240299e-05
17,0.056304678000417635,0.582789774241427,0.1411764705882353,0.5527940988540649,medium,relu,0.1,50,0.0003337193237329838,25.421812094739877,2.3724834090775637e-06
7,0.04837257478778306,0.14838105531370718,0.11428571428571428,0.5945083498954773,large,relu,0.30000000000000004,30,0.00015036026469597826,41.577777004616536,6.398916399944075e-07
18,0.0009087497186009891,0.07321790035498715,0.0034503532504518318,9.461578883929178e-05,linear,tanh,0.0,40,0.0008430381095923929,59.40936130277969,7.035224651454538e-05
8,0.0008992770351477751,0.06276455571649703,0.0034503532504518318,2.844952405212098e-06,linear,relu,0.4,40,0.00017915658660381923,35.56758333788171,1.3662775841358905e-05
